Gene	"Gene description"	Evidence	"HPA evidence"	"UniProt evidence"	"NeXtProt evidence"
USP10	"Ubiquitin specific peptidase 10"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
USP11	"Ubiquitin specific peptidase 11"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
USP12	"Ubiquitin specific peptidase 12"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
USP13	"Ubiquitin specific peptidase 13"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
USP14	"Ubiquitin specific peptidase 14"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
USP15	"Ubiquitin specific peptidase 15"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
USP16	"Ubiquitin specific peptidase 16"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
USP17L2	"Ubiquitin specific peptidase 17 like family member 2"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"
USP17L22	"Ubiquitin specific peptidase 17 like family member 22"	"Evidence at transcript level"	"Evidence at transcript level"	"No human protein/transcript evidence"	"Evidence at transcript level"
USP17L24	"Ubiquitin specific peptidase 17 like family member 24"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"
USP17L25	"Ubiquitin specific peptidase 17 like family member 25"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"
USP17L26	"Ubiquitin specific peptidase 17 like family member 26"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"
USP17L27	"Ubiquitin specific peptidase 17 like family member 27"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"
USP17L28	"Ubiquitin specific peptidase 17 like family member 28"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"
USP17L29	"Ubiquitin specific peptidase 17 like family member 29"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"
USP17L30	"Ubiquitin specific peptidase 17 like family member 30"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"
USP17L5	"Ubiquitin specific peptidase 17 like family member 5"	"No human protein/transcript evidence"	"No human protein/transcript evidence"	"No human protein/transcript evidence"	"No human protein/transcript evidence"
USP18	"Ubiquitin specific peptidase 18"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
USP19	"Ubiquitin specific peptidase 19"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"
USP2	"Ubiquitin specific peptidase 2"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
USP20	"Ubiquitin specific peptidase 20"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"
USP21	"Ubiquitin specific peptidase 21"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
USP22	"Ubiquitin specific peptidase 22"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
USP24	"Ubiquitin specific peptidase 24"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
USP25	"Ubiquitin specific peptidase 25"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
USP26	"Ubiquitin specific peptidase 26"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
USP27X	"Ubiquitin specific peptidase 27 X-linked"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"
USP28	"Ubiquitin specific peptidase 28"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
USP29	"Ubiquitin specific peptidase 29"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at transcript level"
USP3	"Ubiquitin specific peptidase 3"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
USP30	"Ubiquitin specific peptidase 30"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"
USP31	"Ubiquitin specific peptidase 31"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at transcript level"	"Evidence at protein level"
USP32	"Ubiquitin specific peptidase 32"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
USP33	"Ubiquitin specific peptidase 33"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
USP34	"Ubiquitin specific peptidase 34"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
USP35	"Ubiquitin specific peptidase 35"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
USP36	"Ubiquitin specific peptidase 36"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
USP37	"Ubiquitin specific peptidase 37"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
USP38	"Ubiquitin specific peptidase 38"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"
USP4	"Ubiquitin specific peptidase 4"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
USP40	"Ubiquitin specific peptidase 40"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"
USP42	"Ubiquitin specific peptidase 42"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
USP43	"Ubiquitin specific peptidase 43"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
USP44	"Ubiquitin specific peptidase 44"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
USP45	"Ubiquitin specific peptidase 45"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
USP46	"Ubiquitin specific peptidase 46"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
USP47	"Ubiquitin specific peptidase 47"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
USP48	"Ubiquitin specific peptidase 48"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
USP49	"Ubiquitin specific peptidase 49"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
USP5	"Ubiquitin specific peptidase 5"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
USP51	"Ubiquitin specific peptidase 51"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
USP6	"Ubiquitin specific peptidase 6"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
USP7	"Ubiquitin specific peptidase 7"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
USP8	"Ubiquitin specific peptidase 8"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"
USP9X	"Ubiquitin specific peptidase 9 X-linked"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
USP9Y	"Ubiquitin specific peptidase 9 Y-linked"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at transcript level"	"Evidence at protein level"
UST	"Uronyl 2-sulfotransferase"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at transcript level"	"Evidence at protein level"
UXS1	"UDP-glucuronate decarboxylase 1"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"
VAPB	"VAMP associated protein B and C"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
VARS1	"Valyl-tRNA synthetase 1"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
VKORC1	"Vitamin K epoxide reductase complex subunit 1"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
VNN1	"Vanin 1"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"
VNN2	"Vanin 2"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"
VPS29	"VPS29 retromer complex component"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
WARS1	"Tryptophanyl-tRNA synthetase 1"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
WWOX	"WW domain containing oxidoreductase"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
WWP1	"WW domain containing E3 ubiquitin protein ligase 1"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"
WWP2	"WW domain containing E3 ubiquitin protein ligase 2"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"
XDH	"Xanthine dehydrogenase"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
XPO6	"Exportin 6"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
XPO7	"Exportin 7"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"
XYLB	Xylulokinase	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
XYLT1	"Xylosyltransferase 1"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"
XYLT2	"Xylosyltransferase 2"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"
YARS1	"Tyrosyl-tRNA synthetase 1"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
YKT6	"YKT6 v-SNARE homolog"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"
ZC3HAV1	"Zinc finger CCCH-type containing, antiviral 1"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
ZDHHC1	"Zinc finger DHHC-type containing 1"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"
ZDHHC11	"Zinc finger DHHC-type containing 11"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
ZDHHC11B	"Zinc finger DHHC-type containing 11B"	"Evidence at protein level"	"Evidence at protein level"	"No human protein/transcript evidence"	"Evidence at transcript level"
ZDHHC12	"Zinc finger DHHC-type palmitoyltransferase 12"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at transcript level"	"Evidence at protein level"
ZDHHC13	"Zinc finger DHHC-type palmitoyltransferase 13"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
ZDHHC14	"Zinc finger DHHC-type palmitoyltransferase 14"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
ZDHHC15	"Zinc finger DHHC-type palmitoyltransferase 15"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"
ZDHHC16	"Zinc finger DHHC-type palmitoyltransferase 16"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"
ZDHHC17	"Zinc finger DHHC-type palmitoyltransferase 17"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
ZDHHC18	"Zinc finger DHHC-type palmitoyltransferase 18"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
ZDHHC19	"Zinc finger DHHC-type palmitoyltransferase 19"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"
ZDHHC2	"Zinc finger DHHC-type palmitoyltransferase 2"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
